district_id,state,district,lat,lon,population,female_population,literacy_rate,urban_share,census_match_quality,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,total_2001
88,BIHAR,KATIHAR,25.56565356,87.70466084,3071029.0,1470599.0,0.4168602771253544,0.09462246128416003,exact,51,20,6,6,0,29,0,112
89,BIHAR,KATIHAR RLY.,25.548,87.5652,3071029.0,1470599.0,0.4168602771253544,0.09462246128416003,fuzzy,0,1,0,2,0,0,0,3
90,BIHAR,KHAGARIA,25.53558891,86.56593256,1666886.0,783100.0,0.4607561644887533,0.0532222962581992,exact,5,6,11,6,0,2,0,30
91,BIHAR,KISHANGANJ,26.32433676,87.95045007,1690400.0,823430.0,0.4407572172266919,0.09739862967539031,exact,22,16,4,2,1,39,0,84
92,BIHAR,LAKHISARAI,25.18344932,86.12825701,1000912.0,474567.0,0.5068077912943396,0.15296780562980086,exact,10,7,6,12,0,5,0,40
93,BIHAR,MADHEPURA,25.77341929,86.8978444,2001762.0,954203.0,0.4169211924294696,0.04703318583203665,exact,11,15,6,3,0,10,0,45
94,BIHAR,MADHUBANI,26.41380538,86.1632836,4487379.0,2158066.0,0.4803111125670464,0.03787153765753785,exact,13,11,12,41,0,18,0,95
95,BIHAR,MOTIHARI,26.6438,84.904,2738128.2702702703,1310648.2972972973,0.5067306581672985,0.11772226445831367,unmatched,44,35,37,3,1,47,0,167
96,BIHAR,MUNGER,25.19853796,86.54173673,1367765.0,638724.0,0.5862242417374329,0.2784560300977397,exact,11,15,8,0,0,39,0,73
97,BIHAR,MUZAFFARPUR,26.18664417,85.32745092,4801062.0,2273565.0,0.5226410323382619,0.10782619881828918,exact,73,25,69,81,0,141,6,395
98,BIHAR,MUZAFFARPUR RLY.,26.1219,8503791.0,4801062.0,2273565.0,0.5226410323382619,0.10782619881828918,fuzzy,2,1,0,4,0,1,0,8
99,BIHAR,NALANDA,25.22934551,85.48053114,2877653.0,1380593.0,0.5281849479419513,0.16625288042253225,exact,40,12,47,14,2,54,0,169
100,BIHAR,NAUGACHIA,25.3873,87.098,2738128.2702702703,1310648.2972972973,0.5067306581672985,0.11772226445831367,unmatched,7,9,4,0,0,5,0,25
101,BIHAR,NAWADAH,24.8911,85.5355,2219146.0,1074478.0,0.49163597167559053,0.10667397863837279,fuzzy,15,1,17,7,0,13,1,54
102,BIHAR,PATNA,25.40297115,85.31984336,5838465.0,2759953.0,0.5925665393215511,0.4562480270127775,exact,27,11,90,47,0,152,39,366
103,BIHAR,PATNA RLY.,25.6033,85.137,2738128.2702702703,1310648.2972972973,0.5067306581672985,0.11772226445831367,unmatched,1,1,0,9,0,0,0,11
104,BIHAR,PURNEA,25.81714802,87.40447607,3264619.0,1565249.0,0.4081107167482637,0.10737469258548753,fuzzy,39,23,8,5,0,22,0,97
105,BIHAR,ROHTAS,24.99170461,83.93507627,2959918.0,1416372.0,0.6080681964838215,0.15734934488480595,exact,25,18,36,21,0,59,0,159
106,BIHAR,SAHARSA,25.8212707,86.5467082,1900661.0,903487.0,0.4235347597493714,0.08082906838157031,exact,12,10,7,9,0,12,0,50
107,BIHAR,SAMASTIPUR,25.79320556,85.94833323,4261566.0,2031563.0,0.5028386278659066,0.04116179901842465,exact,19,29,11,17,9,35,29,149
108,BIHAR,SARAN,25.89656078,84.82266287,3951862.0,1929041.0,0.5459335371528662,0.09811836599273169,exact,20,15,67,22,0,101,0,225
109,BIHAR,SHEIKHPURA,25.12472437,85.77839391,636342.0,306599.0,0.5165084184290837,0.18354468553506537,exact,3,1,9,0,0,32,0,45
110,BIHAR,SHEOHAR,26.45838075,85.29539412,656246.0,309573.0,0.4323043492836528,0.04527710843373494,exact,11,7,3,0,0,2,0,23
111,BIHAR,SITAMARHI,26.5657007,85.61172491,3423574.0,1620322.0,0.4196766303284229,0.05796042774258895,exact,23,20,13,1,0,21,0,78
112,BIHAR,SIWAN,26.1736372,84.33766553,3330464.0,1655374.0,0.5795513778260326,0.06206959956819085,exact,4,26,32,6,0,10,0,78
113,BIHAR,SUPAUL,26.28157894,86.78496465,2229076.0,1073793.0,0.46354767625688853,0.04635045375619478,exact,30,2,7,8,0,18,0,65
114,BIHAR,VAISHALI,25.81347032,85.39247597,3495021.0,1650486.0,0.5512813799974307,0.06858450395638849,exact,20,28,59,52,0,179,0,338
115,CHHATTISGARH,BALRAMPUR,27.44907654,82.47158326,1871633.7692307692,929538.7692307692,0.6255787878290948,0.282148889528473,unmatched,17,1,1,18,0,7,0,44
